frame,time_s,protocol,info,wpan_cmd,wpan_src64,wpan_dst64,wpan_src16,wpan_dst16,wpan_association_short,nwk_src,nwk_dst,nwk_src64,nwk_dst64,nwk_security,security_key_id,security_src64,decryption_key_label,aps_type,aps_src_ep,aps_dst_ep,aps_cluster,aps_profile,aps_cmd_id,aps_cmd_key_type,aps_cmd_device,zcl_mfg_code,zcl_tsn,zcl_cmd_id,zcl_rsp_to_cmd,zcl_attr_id,zcl_attr_status,zcl_attr_type,zcl_attr_uint8,zcl_attr_uint16,zcl_attr_uint24,zcl_attr_uint32,zcl_attr_bitmap8,zcl_attr_bitmap16,zcl_attr_bitmap32,zcl_attr_str,zcl_attr_ostr,zcl_attr_bytes
102,7.077038000,,,0x02,00:17:88:01:0c:b9:2f:63,00:17:88:01:0b:89:54:2f,,,0xadeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,7.077580000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,7.087107000,,[redacted APS transport-key frame],,,,0x09de,0xadeb,,0x09de,0xadeb,,,False,0x02,00:17:88:01:0c:b9:2f:63,HUE_ZLL_LINK_KEY,0x01,,,,,0x05,0x01,,,,,,,,,,,,,,,,,,
105,7.087648000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,7.097882000,,,,00:17:88:01:0b:89:54:2f,,0xadeb,0xffff,,0xadeb,0xfffd,00:17:88:01:0b:89:54:2f,,True,0x01,00:17:88:01:0b:89:54:2f,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
107,7.110380000,,,,00:17:88:01:0b:89:54:2f,,0xadeb,0xffff,,0xadeb,0xfffc,00:17:88:01:0b:89:54:2f,,True,0x01,00:17:88:01:0b:89:54:2f,,,,,,,,,,,,,,,,,,,,,,,,,,
108,7.115467000,,,,00:17:88:01:0b:89:54:2f,,0xadeb,0xffff,,0xadeb,0xfffc,,,True,0x01,00:17:88:01:0b:89:54:2f,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
109,7.120581000,,,,,,0xdc60,0xffff,,0xdc60,0xfffc,00:17:88:01:0c:94:0f:b8,,True,0x01,00:17:88:01:0c:94:0f:b8,,,,,,,,,,,,,,,,,,,,,,,,,,
110,7.137352000,,,,,,0x09de,0xffff,,0xadeb,0xfffc,,,True,0x01,00:17:88:01:0c:b9:2f:63,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
111,7.145946000,,,,,,0x09de,0xffff,,0xadeb,0xfffd,00:17:88:01:0b:89:54:2f,,True,0x01,00:17:88:01:0c:b9:2f:63,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
112,7.148724000,,,,,,0x92fc,0xffff,,0xadeb,0xfffc,,,True,0x01,00:17:88:01:08:2e:e1:e3,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
113,7.152344000,,,,,,0x14c5,0xffff,,0xadeb,0xfffc,,,True,0x01,00:17:88:01:0b:b9:9a:55,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
114,7.155042000,,,,,,0xbff9,0xffff,,0xadeb,0xfffd,00:17:88:01:0b:89:54:2f,,True,0x01,00:17:88:01:0d:4d:a4:a2,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
115,7.157061000,,,,,,0xed3c,0xffff,,0xadeb,0xfffc,,,True,0x01,00:17:88:01:0b:b9:7f:14,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
116,7.159671000,,,,,,0xbff9,0xffff,,0xadeb,0xfffc,,,True,0x01,00:17:88:01:0d:4d:a4:a2,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
117,7.163097000,,,,,,0x30ae,0xffff,,0x0001,0xfffc,00:17:88:01:05:4f:59:f4,,True,0x01,00:17:88:01:0d:93:d2:1c,,,,,,,,,,,,,,,,,,,,,,,,,,
118,7.165285000,,,,,,0x51db,0xffff,,0xadeb,0xfffc,,,True,0x01,00:17:88:01:0e:10:a0:16,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
119,7.167844000,,,,,,0x92fc,0xffff,,0xadeb,0xfffd,00:17:88:01:0b:89:54:2f,,True,0x01,00:17:88:01:08:2e:e1:e3,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
